_id,Reporting date,Card Type,Category,Series Description,Sector,Sub-sector,ObservationType,Observation Scale,Value
72,2015-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,36697
73,2015-05,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4289167
74,2015-05,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3477674
75,2015-05,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1546118
76,2015-05,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1931556
77,2015-05,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,811493
78,2015-05,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,638138
79,2015-05,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,173355
80,2015-05,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,840566
81,2015-05,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,564038
82,2015-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,183132
83,2015-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,93396
84,2015-05,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,407038
85,2015-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,236342
86,2015-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,77206
87,2015-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,159136
88,2015-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,170696
89,2015-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,135302
90,2015-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,35394
91,2015-06,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4725134
92,2015-06,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3823210
93,2015-06,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1629951
94,2015-06,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2193259
95,2015-06,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,901924
96,2015-06,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,718785
97,2015-06,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,183139
98,2015-06,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,912174
99,2015-06,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,620582
100,2015-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,194376
101,2015-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,97216
102,2015-06,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,522965
103,2015-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,318980
